id,handle,nexternal_id,internal_memo,author,price,related_ids
11141954570,alpha-omega-lifepac-7th-grade-science-experiments-dvd,253,Old data from V-Cart System: Web Special $17.56 Clearance $17.56 Old Promo Pages: Notes from V-Cart system: ,,14.36,"11141954314,11141980298,11142002762"
11141956234,alpha-omega-lifepac-8th-grade-science-experiments-dvd,254,Old data from V-Cart System: Web Special $17.56 Clearance $17.56 Old Promo Pages: Notes from V-Cart system: ,,14.36,"11141956106,11141980810,11142008714"
11141960586,alpha-omega-lifepac-9th-grade-science-experiments-dvd,255,Old data from V-Cart System: Web Special $17.56 Clearance $17.56 Old Promo Pages: Notes from V-Cart system: ,,14.36,"11141959818,11141981450,11142000266"
11141937354,alpha-omega-kindergarten-lifepac-language-arts,257,Old data from V-Cart System: Web Special $36.92 Clearance $36.92 Old Promo Pages: Notes from V-Cart system: ,,44.96,"11141937546,11142369610,11142278986"
11141937546,alpha-omega-kindergarten-lifepac-math,258,Old data from V-Cart System: Web Special $36.92 Clearance $36.92 Old Promo Pages: Notes from V-Cart system: ,,44.96,"11141937354,11142506826,11142272458"
11141938122,alpha-omega-lifepac-10th-grade-bible-complete-set,259,,,62.96,"11141939338,11141938506,11141939786"
11141938506,alpha-omega-lifepac-10th-grade-history-geography-world-history-complete-set,260,,,62.96,"11141938122,11141939338,11141940490"
11141939338,alpha-omega-lifepac-10th-grade-language-arts-complete-set,261,,,62.96,"11141938122,11141938506,11141940490"
11141940490,alpha-omega-lifepac-10th-grade-science-biology-complete-set,262,,,62.96,"11141938122,11141938506,11141939338"
11141939786,alpha-omega-lifepac-10th-grade-math-geometry-complete-set,263,,,62.96,"11141938122,11141939338,11141938506"
11141941130,alpha-omega-lifepac-11th-grade-bible,264,Old data from V-Cart System: Web Special $43.96 Clearance $43.96 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11141941642,11141942730,11142367434"
11141941642,alpha-omega-lifepac-11th-grade-history-geography-american-history,265,Old data from V-Cart System: Web Special $43.95 Clearance $43.95 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11142470346,11142370506,11142094986"
11141942154,alpha-omega-lifepac-11th-grade-language-arts,266,Old data from V-Cart System: Web Special $61.56 Clearance $61.56 Old Promo Pages: Notes from V-Cart system: ,,71.96,"11141941130,11141941642,11141943370"
11141943370,alpha-omega-lifepac-11th-grade-science,267,Old data from V-Cart System: Web Special $43.96 Clearance $43.96 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11141941130,11141941642,11141942730"
11141942730,alpha-omega-lifepac-11th-grade-math,268,Old data from V-Cart System: Web Special $48.36 Clearance $48.36 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11141941130,11141968138,11141943370"
11141943882,alpha-omega-lifepac-12th-grade-bible,269,Old data from V-Cart System: Web Special $43.96 Clearance $43.96 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11141944970,11141945482,11141944650"
11141944650,alpha-omega-lifepac-12th-grade-history-geography-government-economics,270,Old data from V-Cart System: Web Special $43.96 Clearance $43.96 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11141943882,11142599562,11142157386"
11141945802,alpha-omega-lifepac-12th-grade-science-physics,271,Old data from V-Cart System: Web Special $43.96 Clearance $43.96 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11141943882,11141944650,11141944970"
11141944970,alpha-omega-lifepac-12th-grade-language-arts,272,Old data from V-Cart System: Web Special $48.36 Clearance $48.36 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11141943882,11141945802,11141944650"
11141945482,alpha-omega-lifepac-12th-grade-math-pre-calculus-or-advanced-mathematics,273,Old data from V-Cart System: Web Special $48.36 Clearance $48.36 Old Promo Pages: Notes from V-Cart system: ,,62.96,"11141943882,11141979082,11141997450"
11141946314,alpha-omega-lifepac-1st-grade-bible,274,Old data from V-Cart System: Web Special $61.56 Clearance $61.56 Old Promo Pages: Notes from V-Cart system: ,,80.96,"11141947082,11141946890,11142367114"
11141946506,alpha-omega-lifepac-1st-grade-history-geography,275,Old data from V-Cart System: Web Special $61.56 Clearance $61.56 Old Promo Pages: Notes from V-Cart system: ,,80.96,"11141946314,11141946890,11141947082"
11141946698,alpha-omega-lifepac-1st-grade-language-arts,276,Old data from V-Cart System: Web Special $81.79 Clearance $81.79 Old Promo Pages: Notes from V-Cart system: ,,99.86,"11141946314,11141946890,11141947082"
